"id","name","packaging_signalled","bottlesize_signalled","fill_level_signalled","state_signalled","bottlesize_l","fill_level","state","packaging","sold","price"
43249,"Selot, Jacques Echezeaux Grand Cru 1976 0,75 l",NULL,1,1,1,0.75,"3 cm","3 cm, Etiketten leicht beschädigt, verschmutzt, kellergrau","None",1,190
43250,"Chateau Mouton-Rothschild 1994 0,75 l",NULL,1,1,1,0.75,"in","in","None",1,370
43251,"Chateau Mouton-Rothschild 2002 0,75 l",NULL,1,1,1,0.75,"hf-in","hf-in, Etikett leicht beschädigt, ganz leicht verschmutzt","None",1,380
43252,"Chateau de Beaucastel Chateauneuf-du-Pape blanc 2007 0,75 l",NULL,1,1,1,0.75,"1","1,5 cm","None",1,120
43253,"Chateau de Beaucastel Chateauneuf-du-Pape Hommage a Jacques Perrin 2004 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etikett leicht beschädigt","None",1,220
43254,"Clerico, Domenico Barolo Percristina 2004 0,75 l",NULL,1,1,1,0.75,"in","in","None",1,340
43255,"Chateau Margaux 1982 0,75 l",NULL,1,1,1,0.75,"hs","hs, Etikett ganz leicht verschmutzt, US-Re-Import, Kapsel oxidiert","None",1,590
43256,"Chateau Margaux 1986 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht verschmutzt, Markierung auf dem Etikett","None",1,430
43281,"Chateau Margaux 1990 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett verschmutzt","None",1,925
43257,"Chateau Margaux 1986 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht verschmutzt, Markierung auf dem Etikett","None",1,460
43258,"Chateau Margaux 1992 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht verschmutzt, Kapsel ganz leicht beschädigt","None",1,320
43259,"Chateau Margaux 1992 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht verschmutzt, Markierung auf dem Etikett","None",1,280
43260,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 1996 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht beschädigt, ganz leicht verschmutzt","None",1,130
43261,"Chateau Haut-Batailley 1982 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etikett ganz leicht verschmutzt, Kapsel ganz leicht beschädigt","None",1,70
43262,"Chateau Lafite-Rothschild 1986 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht verschmutzt, Markierung auf dem Etikett","None",1,780
43263,"Chateau Lafite-Rothschild 1986 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht beschädigt, ganz leicht verschmutzt, Markierung auf dem Etikett","None",1,760
43264,"Chateau Latour 1966 0,75 l",NULL,1,1,1,0.75,"ms","ms, Etikett beschädigt, verschmutzt, US-Re-Import, Leimstreifen","None",NULL,0
43265,"Chateau Guiraud 1983 0,75 l(2)",NULL,1,1,1,0.75,"ts","ts, Etiketten ganz leicht beschädigt, Kapsel ganz leicht beschädigt","None",1,120
43266,"Chateau La Tour Blanche 1997 0,75 l",1,1,1,1,0.75,"ts","ts","12er OHK",1,300
43267,"Chateau La Tour Blanche 2001 0,75 l",1,1,1,1,0.75,"in-ts","in-ts","12er OHK",1,600
43268,"Chateau Lafaurie Peyraguey 1969 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett stark beschädigt, stark verschmutzt, stark kellergrau, Kapsel ganz leicht beschädigt","None",1,100
43269,"Chateau Rieussec 1989 0,375 l",NULL,1,1,1,0.37,"ts","ts, Etiketten leicht verschmutzt","None",1,90
43270,"Chateau Rieussec 1994 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten ganz leicht verschmutzt","None",1,120
43271,"Chateau Rieussec 1999 0,75 l",1,1,1,1,0.75,"in","in","12er OHK",1,410
43272,"Chateau Suduiraut 1990 0,375 l",NULL,1,1,1,0.37,"ts","ts, Etiketten ganz leicht verschmutzt","None",1,150
43273,"Chateau Suduiraut 2001 0,75 l",1,1,1,1,0.75,"in-ts","in-ts","12er OHK",1,700
43274,"Joly, Nicolas Clos de la Coulee de Serrant 1989 0,75 l",NULL,1,1,1,0.75,"3 cm","3 cm, Etiketten ganz leicht verschmutzt","None",1,260
