"id","name","winepoints_signalled","packaging_signalled","vintage_signalled","bottlesize_signalled","origin_signalled","fill_level_signalled","state_signalled","min_price_signalled","max_price_signalled","sold","price","minimum_price","maximum_price"
26379,"Chateau Desmirail 1998 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","90","180"
26380,"Chateau Peyreau 2002 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","40","80"
26381,"Chateau l´Angelus 1970 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","100","195"
26382,"Chateau de Fonbel 1990 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","90","180"
26383,"Chateau Mouton-Rothschild 1977 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","150","300"
26384,"Weingut Müller-Catoir Haardter Bürgergarten Riesling Eiswein 1999 0,375 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","90","180"
26385,"Marques de Murrieta Castillo Ygay Gran Reserva Especial 1989 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","80","160"
26386,"Taittinger Comtes de Champagne Rosé Brut 2004 0,75 l",1,1,1,1,1,1,1,1,1,1,"310","200","400"
26387,"Domaine Weinbach/Faller, Colette Gewürztraminer Mambourg Vendanges Tardives 2001 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"110","80","160"
26388,"Chateau Montrose 2011 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"230","180","360"
26389,"Domaine Jean Marie Fourrier Griotte-Chambertin Grand Cru 2002 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"680","680","1.36"
26390,"Perrier-Jouet Belle Epoque Brut 2004 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"210","150","300"
26391,"Laurent Perrier Grand Siecle Grande Cuvee Brut NV 0,75 l",NULL,NULL,NULL,1,1,1,1,1,1,1,"190","150","300"
26392,"Leclerc, Philippe Gevrey Chambertin Combe aux Moines 1er Cru 2006 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"90","80","160"
26393,"Chateau Petrus 2002 0,75 l",1,1,1,1,1,1,1,1,1,1,"1.65","1.6","3.2"
26394,"Hirtzberger, Franz Spitzer Honivogl Grüner Veltliner Smaragd 2016 0,75 l",1,1,1,1,1,1,1,1,1,1,"220","150","300"
26395,"Chateau Rausan Segla 1990 0,75 l",1,1,1,1,1,1,1,1,1,1,"1.25","1.2","1.92"
26396,"Chateau Grand-Puy-Lacoste 2012 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"230","180","360"
26397,"Chateau de Beaucastel Chateauneuf-du-Pape 2010 0,75 l",1,1,1,1,1,1,1,1,1,1,"360","270","540"
26398,"Clos des Papes, Avril Chateauneuf-du-Pape 2009 0,75 l",1,1,1,1,1,1,1,1,1,1,"230","150","300"
26399,"Domaine de la Janasse Chateauneuf-du-Pape ""Chaupin"" 2009 0,75 l",1,1,1,1,1,1,1,1,1,1,"410","250","500"
26400,"Domaine de la Janasse Chateauneuf-du-Pape ""Vieilles Vignes"" 2010 0,75 l",1,1,1,1,1,1,1,1,1,1,"370","280","560"
26401,"Domaine Durieu Chateauneuf-du-Pape Cuvee Lucile Avril 2007 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"150","150","240"
26402,"Vignobles Perse Chateau Clos l´Eglise 1999 0,75 l(1)",1,NULL,1,1,1,1,1,1,1,1,"145","135","270"
26403,"Tement, Manfred Morillon Zieregg 2005 0,75 l(1)",NULL,NULL,1,1,1,1,1,1,1,1,"340","210","420"
26404,"Parker Coonawarra Estate Terra Rossa First Growth 1998 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"185","165","330"
26405,"Prager Wachstum Bodenstein Riesling Smaragd 1999 0,75 l(5)",NULL,NULL,1,1,1,1,1,1,1,1,"240","180","360"
26406,"Kalleske Grenache Old Vine 2007 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"30","30","60"
26407,"Kalleske Grenache Old Vine 2007 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","30","60"
26408,"Kalleske Grenache Old Vine 2007 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","30","60"
26409,"Domaine Klipfel Gewürztraminer Clos Zisser Grand Cru 1973 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"70","30","60"
26410,"Freie Weingärtner Wachau Weissenkirchner Achleiten Grüner Veltliner Smaragd 2000 1,5 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","80","160"
26411,"Römerhof Kollwentz Steinmühle Sauvignon Blanc 2006 0,75 l(1)",NULL,NULL,1,1,1,1,1,1,1,1,"55","55","110"
26412,"Gantenbein Pinot Noir  2015 0,75 l",NULL,1,1,1,1,1,1,1,1,1,"140","120","240"
